mp-id,formula,atomic_numbers
mp-1020670,SrB4O7,"[38, 38, 38, 38, 38, 38, 38, 38, 38, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8]"
mp-1218899,Sr10P6ClO24F,"[38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 15, 15, 15, 15, 15, 15, 17, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 9]"
mp-1220900,NaLa9(Ge3O13)2,"[11, 57, 57, 57, 57, 57, 57, 57, 57, 57, 32, 32, 32, 32, 32, 32, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8]"
mp-1218918,Sr10P6BrO24F,"[38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 15, 15, 15, 15, 15, 15, 35, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 9]"
mp-557340,Ge3Pb5O11,"[32, 32, 32, 32, 32, 32, 32, 32, 32, 82, 82, 82, 82, 82, 82, 82, 82, 82, 82, 82, 82, 82, 82, 82, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8]"
mp-1225784,Er6Mn(GeS7)2,"[68, 68, 68, 68, 68, 68, 25, 32, 32, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16]"
mp-1225748,Er6Mg(GeS7)2,"[68, 68, 68, 68, 68, 68, 12, 32, 32, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16]"
mp-1223187,La6Co(SiS7)2,"[57, 57, 57, 57, 57, 57, 27, 14, 14, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16]"
mp-1217650,Tb6Ge3Se14,"[65, 65, 65, 65, 65, 65, 32, 32, 32, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34]"
mp-1220067,P2Pb3O8,"[15, 15, 15, 15, 15, 15, 82, 82, 82, 82, 82, 82, 82, 82, 82, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8]"
